Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match Type
21,35,17,2,0,123.52,3,bowled,2,England,Pune,20-12-2012,T20
38,25,20,7,0,190,3,lbw,1,England,Wankhede,22-12-2012,T20
9,15,11,1,0,81.81,3,caught,1,Pakistan,Bengaluru,25-12-2012,T20
27,31,22,3,0,122.72,3,run out,1,Pakistan,Ahmedabad,28-12-2012,T20
29,26,22,2,1,131.81,4,caught,2,Australia,Rajkot,10-10-2013,T20
36,45,32,4,1,112.5,3,not out,2,Pakistan,Mirpur,21-03-2014,T20
54,51,41,5,1,131.7,3,bowled,2,West Indies,Mirpur,23-03-2014,T20
57,66,50,3,1,114,3,not out,2,Bangladesh,Mirpur,28-03-2014,T20
23,23,22,2,1,104.54,3,caught,1,Australia,Mirpur,30-03-2014,T20
72,67,44,5,2,163.63,3,not out,2,South Africa,Mirpur,04-04-2014,T20
77,75,58,5,4,132.75,3,run out,1,Sri Lanka,Mirpur,06-04-2014,T20
66,54,41,9,1,160.97,3,caught,2,England,Birmingham,07-09-2014,T20
43,58,27,1,3,159.25,3,caught,1,South Africa,Dharamsala,02-10-2015,T20
1,3,1,0,0,100,3,run out,1,South Africa,Cuttack,05-10-2015,T20
90,71,55,9,2,163.63,3,not out,1,Australia,Adelaide,26-01-2016,T20
59,44,33,7,1,178.78,3,not out,1,Australia,Melbourne,29-01-2016,T20
50,49,36,2,1,138.88,3,bowled,2,Australia,Sydney,31-01-2016,T20
7,13,12,1,0,58.33,3,caught,1,Bangladesh,Mirpur,24-02-2016,T20
49,71,51,7,0,96.07,3,lbw,2,Pakistan,Mirpur,27-02-2016,T20
56,85,47,7,0,119.14,3,not out,2,Sri Lanka,Mirpur,01-03-2016,T20
,,,,,,,,,U.A.E.,Mirpur,03-03-2016,T20
41,62,28,5,0,146.42,3,not out,2,Bangladesh,Mirpur,06-03-2016,T20
23,-,27,2,0,85.18,3,caught,2,New Zealand,Nagpur,15-03-2016,T20
55,66,37,7,1,148.64,3,not out,2,Pakistan,Eden Gardens,19-03-2016,T20
24,37,24,0,1,100,3,bowled,1,Bangladesh,Bengaluru,23-03-2016,T20
82,78,51,9,2,160.78,3,not out,2,Australia,Mohali,27-03-2016,T20
89,63,47,11,1,189.36,3,not out,1,West Indies,Wankhede,31-03-2016,T20
16,8,9,3,0,177.77,3,caught,2,West Indies,Lauderhill,27-08-2016,T20
,,,,,,,,,West Indies,Lauderhill,28-08-2016,T20
29,34,26,4,0,111.53,1,caught,1,England,Kanpur,26-01-2017,T20
21,17,15,2,1,140,1,caught,1,England,Nagpur,29-01-2017,T20
2,6,4,0,0,50,1,run out,1,England,Bengaluru,01-02-2017,T20
39,-,22,7,1,177.27,1,caught,1,West Indies,Kingston,09-07-2017,T20
82,-,54,7,1,151.85,3,caught,2,Sri Lanka,Colombo (RPS),06-09-2017,T20
22,19,14,3,0,157.14,3,not out,2,Australia,Ranchi,07-10-2017,T20
0,2,2,0,0,0,3,caught,1,Australia,Guwahati,10-10-2017,T20
26,19,11,0,3,236.36,4,not out,1,New Zealand,Delhi,01-11-2017,T20
65,59,42,8,1,154.76,4,caught,2,New Zealand,Rajkot,04-11-2017,T20
13,6,6,1,1,216.66,3,caught,1,New Zealand,Thiruvananthapuram,07-11-2017,T20
26,26,20,2,1,130,4,lbw,1,South Africa,Johannesburg,18-02-2018,T20
1,6,5,0,0,20,4,caught,1,South Africa,Centurion,21-02-2018,T20
0,1,2,0,0,0,6,caught,1,Ireland,Dublin (Malahide),27-06-2018,T20
9,-,8,1,0,112.5,2,caught,1,Ireland,Dublin (Malahide),29-06-2018,T20
20,-,22,0,1,90.9,4,not out,2,England,Manchester,03-07-2018,T20
47,-,38,1,2,123.68,4,caught,1,England,Cardiff,06-07-2018,T20
43,-,29,2,2,148.27,4,caught,2,England,Bristol,08-07-2018,T20
4,-,8,0,0,50,4,caught,2,Australia,Brisbane,21-11-2018,T20
,,,,,,,,,Australia,Melbourne,23-11-2018,T20
61,-,41,4,2,148.78,3,not out,2,Australia,Sydney,25-11-2018,T20
24,25,17,3,0,141.17,3,caught,1,Australia,Visakhapatnam,24-02-2019,T20
72,63,38,2,6,189.47,3,not out,1,Australia,Bengaluru,27-02-2019,T20
19,-,29,1,0,65.51,3,caught,2,West Indies,Lauderhill,03-08-2019,T20
28,-,23,1,1,121.73,3,bowled,1,West Indies,Lauderhill,04-08-2019,T20
59,-,45,6,0,131.11,3,caught,2,West Indies,Providence,06-08-2019,T20
72,66,52,4,3,138.46,3,not out,2,South Africa,Mohali,18-09-2019,T20
9,28,15,0,0,60,3,caught,1,South Africa,Bengaluru,22-09-2019,T20
94,-,50,6,6,188,3,not out,2,West Indies,Hyderabad (Deccan),06-12-2019,T20
19,-,17,2,0,111.76,4,caught,1,West Indies,Thiruvananthapuram,08-12-2019,T20
70,-,29,4,7,241.37,4,not out,1,West Indies,Wankhede,11-12-2019,T20
,,,,,,,,,Sri Lanka,Guwahati,05-01-2020,T20
30,-,17,1,2,176.47,4,not out,2,Sri Lanka,Indore,07-01-2020,T20
26,-,17,2,1,152.94,6,run out,1,Sri Lanka,Pune,10-01-2020,T20
45,-,32,3,1,140.62,3,caught,2,New Zealand,Auckland,24-01-2020,T20
11,21,12,1,0,91.66,3,caught,2,New Zealand,Auckland,26-01-2020,T20
38,31,27,2,1,140.74,4,caught,1,New Zealand,Hamilton,29-01-2020,T20
11,16,9,2,0,122.22,3,caught,1,New Zealand,Wellington,31-01-2020,T20
9,-,9,1,0,100,3,caught,1,Australia,Canberra,04-12-2020,T20
40,-,24,2,2,166.66,3,caught,2,Australia,Sydney,06-12-2020,T20
85,-,61,4,3,139.34,3,caught,2,Australia,Sydney,08-12-2020,T20
0,6,5,0,0,0,3,caught,1,England,Ahmedabad,12-03-2021,T20
73,85,49,5,3,148.97,3,not out,2,England,Ahmedabad,14-03-2021,T20
77,80,46,8,4,167.39,4,not out,1,England,Ahmedabad,16-03-2021,T20
1,3,5,0,0,20,4,stumped,1,England,Ahmedabad,18-03-2021,T20
80,103,52,7,2,153.84,2,not out,1,England,Ahmedabad,20-03-2021,T20
57,94,49,5,1,116.32,3,caught,1,Pakistan,Dubai (DSC),24-10-2021,T20
9,20,17,0,0,52.94,4,caught,1,New Zealand,Dubai (DSC),31-10-2021,T20
,,,,,,,,,Afghanistan,Abu Dhabi,03-11-2021,T20
2,7,2,0,0,100,3,not out,2,Scotland,Dubai (DSC),05-11-2021,T20
,,,,,,,,,Namibia,Dubai (DSC),08-11-2021,T20
17,25,13,1,0,130.76,3,caught,2,West Indies,Eden Gardens,16-02-2022,T20
52,57,41,7,1,126.82,3,bowled,1,West Indies,Eden Gardens,18-02-2022,T20
1,8,3,0,0,33.33,3,caught,1,England,Birmingham,09-07-2022,T20
11,8,6,1,1,183.33,3,caught,2,England,Nottingham,10-07-2022,T20
35,47,34,3,1,102.94,3,caught,2,Pakistan,Dubai (DSC),28-08-2022,T20
59,74,44,1,3,134.09,3,not out,1,Hong Kong,Dubai (DSC),31-08-2022,T20
60,77,44,4,1,136.36,3,run out,1,Pakistan,Dubai (DSC),04-09-2022,T20
0,6,4,0,0,0,3,bowled,1,Sri Lanka,Dubai (DSC),06-09-2022,T20
122,90,61,12,6,200,2,not out,1,Afghanistan,Dubai (DSC),08-09-2022,T20
2,12,7,0,0,28.57,3,caught,1,Australia,Mohali,20-09-2022,T20
11,-,6,2,0,183.33,3,bowled,2,Australia,Nagpur,23-09-2022,T20
63,89,48,3,4,131.25,3,caught,2,Australia,Hyderabad (Deccan),25-09-2022,T20
3,19,9,0,0,33.33,3,caught,2,South Africa,Thiruvananthapuram,28-09-2022,T20
49,56,28,7,1,175,3,not out,1,South Africa,Guwahati,02-10-2022,T20
82,98,53,6,4,154.71,3,not out,2,Pakistan,Melbourne,23-10-2022,T20
62,79,44,3,2,140.9,3,not out,1,Netherlands,Sydney,27-10-2022,T20
12,13,11,2,0,109.09,3,caught,1,South Africa,Perth,30-10-2022,T20
64,84,44,8,1,145.45,3,not out,1,Bangladesh,Adelaide,02-11-2022,T20
26,36,25,2,0,104,3,caught,1,Zimbabwe,Melbourne,06-11-2022,T20
4,13,10,1,0,40,5,caught,1,West Indies,Kingston,20-06-2011,TEST
15,72,54,2,0,27.77,5,caught,3,West Indies,Kingston,20-06-2011,TEST
0,1,2,0,0,0,5,caught,1,West Indies,Bridgetown,28-06-2011,TEST
27,118,107,1,1,25.23,5,caught,3,West Indies,Bridgetown,28-06-2011,TEST
30,62,53,2,0,56.6,5,caught,2,West Indies,Roseau,06-07-2011,TEST
,,,,,,,,,West Indies,Roseau,06-07-2011,TEST
52,154,111,5,0,46.84,6,caught,2,West Indies,Wankhede,22-11-2011,TEST
63,136,114,3,1,55.26,6,caught,4,West Indies,Wankhede,22-11-2011,TEST
11,28,21,1,0,52.38,7,caught,2,Australia,Melbourne,26-12-2011,TEST
0,3,1,0,0,0,6,lbw,4,Australia,Melbourne,26-12-2011,TEST
23,50,41,3,0,56.09,6,caught,1,Australia,Sydney,03-01-2012,TEST
9,35,24,2,0,37.5,6,lbw,3,Australia,Sydney,03-01-2012,TEST
44,107,81,6,0,54.32,6,caught,1,Australia,Perth,13-01-2012,TEST
75,191,136,9,0,55.14,6,caught,3,Australia,Perth,13-01-2012,TEST
116,237,213,11,1,54.46,6,lbw,2,Australia,Adelaide,24-01-2012,TEST
22,96,62,2,0,35.48,6,run out,4,Australia,Adelaide,24-01-2012,TEST
58,143,107,8,0,54.2,5,caught,1,New Zealand,Hyderabad (Deccan),23-08-2012,TEST
103,284,193,14,1,53.36,5,lbw,2,New Zealand,Bengaluru,31-08-2012,TEST
51,130,82,9,0,62.19,5,not out,4,New Zealand,Bengaluru,31-08-2012,TEST
19,70,67,3,0,28.35,5,bowled,1,England,Ahmedabad,15-11-2012,TEST
14,17,21,3,0,66.66,3,not out,4,England,Ahmedabad,15-11-2012,TEST
19,65,55,3,0,34.54,5,caught,1,England,Wankhede,23-11-2012,TEST
7,16,13,1,0,53.84,5,caught,3,England,Wankhede,23-11-2012,TEST
6,31,24,1,0,25,5,caught,1,England,Eden Gardens,05-12-2012,TEST
20,86,60,3,0,33.33,5,caught,3,England,Eden Gardens,05-12-2012,TEST
103,356,295,11,0,34.91,5,lbw,2,England,Nagpur,13-12-2012,TEST
107,266,206,15,1,51.94,5,caught,2,Australia,Chennai,22-02-2013,TEST
,,,,,,,,,Australia,Chennai,22-02-2013,TEST
34,119,92,3,0,36.95,5,caught,2,Australia,Hyderabad (Deccan),02-03-2013,TEST
67,157,129,7,1,51.93,5,not out,2,Australia,Mohali,14-03-2013,TEST
34,80,61,6,0,55.73,3,caught,4,Australia,Mohali,14-03-2013,TEST
1,11,8,0,0,12.5,3,lbw,2,Australia,Delhi,22-03-2013,TEST
41,76,60,4,0,68.33,3,lbw,4,Australia,Delhi,22-03-2013,TEST
3,13,5,0,0,60,5,caught,2,West Indies,Eden Gardens,06-11-2013,TEST
57,80,78,5,0,73.07,5,caught,2,West Indies,Wankhede,14-11-2013,TEST
119,257,181,18,0,65.74,4,caught,1,South Africa,Johannesburg,18-12-2013,TEST
96,254,193,9,0,49.74,4,caught,3,South Africa,Johannesburg,18-12-2013,TEST
46,114,87,5,0,52.87,4,caught,1,South Africa,Durban,26-12-2013,TEST
11,26,27,1,0,40.74,4,caught,3,South Africa,Durban,26-12-2013,TEST
4,17,13,1,0,30.76,4,caught,2,New Zealand,Auckland,06-02-2014,TEST
67,131,102,12,0,65.68,4,caught,4,New Zealand,Auckland,06-02-2014,TEST
38,131,93,4,0,40.86,5,caught,2,New Zealand,Wellington,14-02-2014,TEST
105,195,135,15,1,77.77,4,not out,4,New Zealand,Wellington,14-02-2014,TEST
1,6,8,0,0,12.5,4,caught,1,England,Nottingham,09-07-2014,TEST
8,39,29,1,0,27.58,4,lbw,3,England,Nottingham,09-07-2014,TEST
25,39,34,4,0,73.52,4,caught,1,England,Lord's,17-07-2014,TEST
0,1,1,0,0,0,4,bowled,3,England,Lord's,17-07-2014,TEST
39,119,75,3,0,52,4,caught,2,England,Southampton,27-07-2014,TEST
28,77,56,3,0,50,4,caught,4,England,Southampton,27-07-2014,TEST
0,3,2,0,0,0,4,caught,1,England,Manchester,07-08-2014,TEST
7,15,11,1,0,63.63,4,caught,3,England,Manchester,07-08-2014,TEST
6,34,18,1,0,33.33,4,lbw,1,England,The Oval,15-08-2014,TEST
20,80,54,2,0,37.03,4,caught,3,England,The Oval,15-08-2014,TEST
115,267,184,12,0,62.5,4,caught,2,Australia,Adelaide,09-12-2014,TEST
141,279,175,16,1,80.57,4,caught,4,Australia,Adelaide,09-12-2014,TEST
19,50,27,1,0,70.37,4,caught,1,Australia,Brisbane,17-12-2014,TEST
1,14,11,0,0,9.09,4,bowled,3,Australia,Brisbane,17-12-2014,TEST
169,380,272,18,0,62.13,4,caught,2,Australia,Melbourne,26-12-2014,TEST
54,134,99,7,0,54.54,4,caught,4,Australia,Melbourne,26-12-2014,TEST
147,315,230,20,0,63.91,4,caught,2,Australia,Sydney,06-01-2015,TEST
46,123,95,3,0,48.42,4,caught,4,Australia,Sydney,06-01-2015,TEST
14,17,22,2,0,63.63,4,bowled,1,Bangladesh,Fatullah,10-06-2015,TEST
103,266,191,11,0,53.92,4,lbw,2,Sri Lanka,Galle,12-08-2015,TEST
3,14,10,0,0,30,5,caught,4,Sri Lanka,Galle,12-08-2015,TEST
78,178,107,8,1,72.89,4,caught,1,Sri Lanka,Colombo (PSS),20-08-2015,TEST
10,33,19,0,0,52.63,4,lbw,3,Sri Lanka,Colombo (PSS),20-08-2015,TEST
18,96,60,3,0,30,4,caught,1,Sri Lanka,Colombo (SSC),28-08-2015,TEST
21,87,63,2,0,33.33,4,caught,3,Sri Lanka,Colombo (SSC),28-08-2015,TEST
1,5,4,0,0,25,4,caught,1,South Africa,Mohali,05-11-2015,TEST
29,92,71,4,0,40.84,4,caught,3,South Africa,Mohali,05-11-2015,TEST
,,,,,,,,,South Africa,Bengaluru,14-11-2015,TEST
22,73,55,2,0,40,4,caught,1,South Africa,Nagpur,25-11-2015,TEST
16,49,30,2,0,53.33,4,caught,3,South Africa,Nagpur,25-11-2015,TEST
44,74,62,7,0,70.96,4,caught,1,South Africa,Delhi,03-12-2015,TEST
88,259,165,10,0,53.33,5,lbw,3,South Africa,Delhi,03-12-2015,TEST
200,375,283,24,0,70.67,4,bowled,1,West Indies,North Sound,21-07-2016,TEST
44,144,90,4,1,48.88,4,caught,2,West Indies,Kingston,30-07-2016,TEST
3,17,8,0,0,37.5,3,caught,1,West Indies,Gros Islet,09-08-2016,TEST
4,21,17,0,0,23.52,3,lbw,3,West Indies,Gros Islet,09-08-2016,TEST
,,,,,,,,,West Indies,Port of Spain,18-08-2016,TEST
9,12,10,2,0,90,4,caught,1,New Zealand,Kanpur,22-09-2016,TEST
18,45,40,3,0,45,4,caught,3,New Zealand,Kanpur,22-09-2016,TEST
9,42,28,1,0,32.14,4,caught,1,New Zealand,Eden Gardens,30-09-2016,TEST
45,82,65,7,0,69.23,4,lbw,3,New Zealand,Eden Gardens,30-09-2016,TEST
211,536,366,20,0,57.65,4,lbw,1,New Zealand,Indore,08-10-2016,TEST
17,36,28,1,0,60.71,4,lbw,3,New Zealand,Indore,08-10-2016,TEST
40,135,95,5,0,42.1,4,hit wicket,2,England,Rajkot,09-11-2016,TEST
49,129,98,6,0,50,4,not out,4,England,Rajkot,09-11-2016,TEST
167,401,267,18,0,62.54,4,caught,1,England,Visakhapatnam,17-11-2016,TEST
81,172,109,8,0,74.31,4,caught,3,England,Visakhapatnam,17-11-2016,TEST
62,161,127,9,0,48.81,4,caught,2,England,Mohali,26-11-2016,TEST
6,11,11,0,0,54.54,4,not out,4,England,Mohali,26-11-2016,TEST
235,515,340,25,1,69.11,4,caught,2,England,Wankhede,08-12-2016,TEST
15,44,29,1,0,51.72,4,caught,2,England,Chennai,16-12-2016,TEST
204,295,246,24,0,82.92,4,lbw,1,Bangladesh,Hyderabad (Deccan),09-02-2017,TEST
38,51,40,2,1,95,4,caught,3,Bangladesh,Hyderabad (Deccan),09-02-2017,TEST
0,2,2,0,0,0,4,caught,2,Australia,Pune,23-02-2017,TEST
13,33,37,1,0,35.13,4,bowled,4,Australia,Pune,23-02-2017,TEST
12,25,17,2,0,70.58,4,lbw,1,Australia,Bengaluru,04-03-2017,TEST
15,34,25,1,0,60,4,lbw,3,Australia,Bengaluru,04-03-2017,TEST
6,38,23,0,0,26.08,4,caught,2,Australia,Ranchi,16-03-2017,TEST
3,15,8,0,0,37.5,4,caught,1,Sri Lanka,Galle,26-07-2017,TEST
103,158,136,5,1,75.73,4,not out,3,Sri Lanka,Galle,26-07-2017,TEST
13,31,29,2,0,44.82,4,caught,1,Sri Lanka,Colombo (SSC),03-08-2017,TEST
42,119,84,3,0,50,4,caught,1,Sri Lanka,Pallekele,12-08-2017,TEST
0,18,11,0,0,0,4,lbw,1,Sri Lanka,Eden Gardens,16-11-2017,TEST
104,208,119,12,2,87.39,4,not out,3,Sri Lanka,Eden Gardens,16-11-2017,TEST
213,386,267,17,2,79.77,4,caught,2,Sri Lanka,Nagpur,24-11-2017,TEST
243,447,287,25,0,84.66,4,lbw,1,Sri Lanka,Delhi,02-12-2017,TEST
50,89,58,3,0,86.2,5,caught,3,Sri Lanka,Delhi,02-12-2017,TEST
5,14,13,0,0,38.46,4,caught,2,South Africa,Cape Town,05-01-2018,TEST
28,62,40,4,0,70,4,lbw,4,South Africa,Cape Town,05-01-2018,TEST
153,379,217,15,0,70.5,4,caught,2,South Africa,Centurion,13-01-2018,TEST
5,22,20,1,0,25,4,lbw,4,South Africa,Centurion,13-01-2018,TEST
54,146,106,9,0,50.94,4,caught,1,South Africa,Johannesburg,24-01-2018,TEST
41,131,79,6,0,51.89,5,bowled,3,South Africa,Johannesburg,24-01-2018,TEST
149,277,225,22,1,66.22,4,caught,2,England,Birmingham,01-08-2018,TEST
51,185,93,4,0,54.83,4,lbw,4,England,Birmingham,01-08-2018,TEST
23,73,57,2,0,40.35,4,caught,1,England,Lord's,09-08-2018,TEST
17,57,29,2,0,58.62,5,caught,3,England,Lord's,09-08-2018,TEST
97,243,152,11,0,63.81,4,caught,1,England,Nottingham,18-08-2018,TEST
103,292,197,10,0,52.28,4,lbw,3,England,Nottingham,18-08-2018,TEST
46,100,71,6,0,64.78,4,caught,2,England,Southampton,30-08-2018,TEST
58,170,130,4,0,44.61,4,caught,4,England,Southampton,30-08-2018,TEST
49,112,70,6,0,70,4,caught,2,England,The Oval,07-09-2018,TEST
0,3,1,0,0,0,4,caught,4,England,The Oval,07-09-2018,TEST
139,341,230,10,0,60.43,4,caught,1,West Indies,Rajkot,04-10-2018,TEST
45,86,78,5,0,57.69,4,lbw,2,West Indies,Hyderabad (Deccan),12-10-2018,TEST
,,,,,,,,,West Indies,Hyderabad (Deccan),12-10-2018,TEST
3,17,16,0,0,18.75,4,caught,1,Australia,Adelaide,06-12-2018,TEST
34,132,104,3,0,32.69,4,caught,3,Australia,Adelaide,06-12-2018,TEST
123,373,257,13,1,47.85,4,caught,2,Australia,Perth,14-12-2018,TEST
17,64,40,2,0,42.5,4,caught,4,Australia,Perth,14-12-2018,TEST
82,305,204,9,0,40.19,4,caught,1,Australia,Melbourne,26-12-2018,TEST
0,6,4,0,0,0,4,caught,3,Australia,Melbourne,26-12-2018,TEST
23,-,59,4,0,38.98,4,caught,1,Australia,Sydney,03-01-2019,TEST
9,-,12,2,0,75,4,caught,1,West Indies,North Sound,22-08-2019,TEST
51,-,113,2,0,45.13,4,caught,3,West Indies,North Sound,22-08-2019,TEST
76,211,163,10,0,46.62,4,caught,1,West Indies,Kingston,30-08-2019,TEST
0,3,1,0,0,0,4,caught,3,West Indies,Kingston,30-08-2019,TEST
20,-,40,4,0,50,4,caught,1,South Africa,Visakhapatnam,02-10-2019,TEST
31,-,25,3,1,124,5,not out,3,South Africa,Visakhapatnam,02-10-2019,TEST
254,-,336,33,2,75.59,4,not out,1,South Africa,Pune,10-10-2019,TEST
12,-,22,2,0,54.54,4,lbw,1,South Africa,Ranchi,19-10-2019,TEST
0,-,2,0,0,0,4,lbw,2,Bangladesh,Indore,14-11-2019,TEST
136,-,194,18,0,70.1,4,caught,2,Bangladesh,Eden Gardens,22-11-2019,TEST
2,9,7,0,0,28.57,4,caught,1,New Zealand,Wellington,21-02-2020,TEST
19,61,43,3,0,44.18,4,caught,3,New Zealand,Wellington,21-02-2020,TEST
3,23,15,0,0,20,4,lbw,1,New Zealand,Christchurch,29-02-2020,TEST
14,40,30,3,0,46.66,4,lbw,3,New Zealand,Christchurch,29-02-2020,TEST
74,244,180,8,0,41.11,4,run out,1,Australia,Adelaide,17-12-2020,TEST
4,13,8,1,0,50,5,caught,3,Australia,Adelaide,17-12-2020,TEST
11,69,48,0,0,22.91,4,caught,2,England,Chennai,05-02-2021,TEST
72,153,104,9,0,69.23,4,bowled,4,England,Chennai,05-02-2021,TEST
0,6,5,0,0,0,4,bowled,1,England,Chennai,13-02-2021,TEST
62,200,149,7,0,41.61,4,lbw,3,England,Chennai,13-02-2021,TEST
27,85,58,3,0,46.55,4,bowled,2,England,Ahmedabad,24-02-2021,TEST
,,,,,,,,,England,Ahmedabad,24-02-2021,TEST
0,13,8,0,0,0,4,caught,2,England,Ahmedabad,04-03-2021,TEST
44,196,132,1,0,33.33,4,lbw,1,New Zealand,Southampton,18-06-2021,TEST
13,43,29,0,0,44.82,4,caught,3,New Zealand,Southampton,18-06-2021,TEST
0,2,1,0,0,0,4,caught,2,England,Nottingham,04-08-2021,TEST
,,,,,,,,,England,Nottingham,04-08-2021,TEST
42,152,103,3,0,40.77,4,caught,1,England,Lord's,12-08-2021,TEST
20,54,31,4,0,64.51,4,caught,3,England,Lord's,12-08-2021,TEST
7,31,17,1,0,41.17,4,caught,1,England,Leeds,25-08-2021,TEST
55,173,125,8,0,44,4,caught,3,England,Leeds,25-08-2021,TEST
50,133,96,8,0,52.08,4,caught,1,England,The Oval,02-09-2021,TEST
44,151,96,7,0,45.83,4,caught,3,England,The Oval,02-09-2021,TEST
0,8,4,0,0,0,4,lbw,1,New Zealand,Wankhede,03-12-2021,TEST
36,111,84,1,1,42.85,4,bowled,3,New Zealand,Wankhede,03-12-2021,TEST
35,108,94,4,0,37.23,4,caught,1,South Africa,Centurion,26-12-2021,TEST
18,41,32,4,0,56.25,5,caught,3,South Africa,Centurion,26-12-2021,TEST
79,273,201,12,1,39.3,4,caught,1,South Africa,Cape Town,11-01-2022,TEST
29,193,143,4,0,20.27,4,caught,3,South Africa,Cape Town,11-01-2022,TEST
45,106,76,5,0,59.21,4,bowled,1,Sri Lanka,Mohali,04-03-2022,TEST
23,63,48,2,0,47.91,4,lbw,1,Sri Lanka,Bengaluru,12-03-2022,TEST
13,27,16,1,0,81.25,4,lbw,3,Sri Lanka,Bengaluru,12-03-2022,TEST
11,33,19,2,0,57.89,4,bowled,1,England,Birmingham,01-07-2022,TEST
20,64,40,4,0,50,4,caught,3,England,Birmingham,01-07-2022,TEST
